UNIPROT ID,GENE,From Docking List,Docking Rank,From Raw Data,GO ID,Gene Rank
Q8C9B9,Dio1,"deiodinase, iodothyronine, type I",1318,Death-inducer obliterator 1 (DIO-1) (Death-associated transcription factor 1) (DATF-1),endoplasmic reticulum|selenium binding|membrane|integral component of membrane|oxidoreductase activity|thyroid hormone metabolic process|hormone biosynthetic process|oxidation-reduction process|thyroxine 5'-deiodinase activity,123
Q8C9B9,Dio1,"deiodinase, iodothyronine, type I",3903,Death-inducer obliterator 1 (DIO-1) (Death-associated transcription factor 1) (DATF-1),endoplasmic reticulum|selenium binding|membrane|integral component of membrane|oxidoreductase activity|thyroid hormone metabolic process|hormone biosynthetic process|oxidation-reduction process|thyroxine 5'-deiodinase activity,123
Q8C9B9,Dio1,"deiodinase, iodothyronine, type I",7059,Death-inducer obliterator 1 (DIO-1) (Death-associated transcription factor 1) (DATF-1),endoplasmic reticulum|selenium binding|membrane|integral component of membrane|oxidoreductase activity|thyroid hormone metabolic process|hormone biosynthetic process|oxidation-reduction process|thyroxine 5'-deiodinase activity,123
Q8C9B9,Dio1,"deiodinase, iodothyronine, type I",7259,Death-inducer obliterator 1 (DIO-1) (Death-associated transcription factor 1) (DATF-1),endoplasmic reticulum|selenium binding|membrane|integral component of membrane|oxidoreductase activity|thyroid hormone metabolic process|hormone biosynthetic process|oxidation-reduction process|thyroxine 5'-deiodinase activity,123
Q80ZJ8,Cracr2b,calcium release activated channel regulator 2B,123,EF-hand calcium-binding domain-containing protein 4A (Calcium release-activated channel regulator 2B),cytoplasm|cellular protein localization|regulation of store-operated calcium entry|store-operated calcium entry|calcium ion binding|protein binding,128
Q80ZJ8,Cracr2b,calcium release activated channel regulator 2B,5668,EF-hand calcium-binding domain-containing protein 4A (Calcium release-activated channel regulator 2B),cytoplasm|cellular protein localization|regulation of store-operated calcium entry|store-operated calcium entry|calcium ion binding|protein binding,128
Q80ZJ8,Cracr2b,calcium release activated channel regulator 2B,6885,EF-hand calcium-binding domain-containing protein 4A (Calcium release-activated channel regulator 2B),cytoplasm|cellular protein localization|regulation of store-operated calcium entry|store-operated calcium entry|calcium ion binding|protein binding,128
Q9Z1T2,Thbs4,thrombospondin 4,1958,Thrombospondin-4,behavioral response to pain|heparin binding|calcium ion binding|tissue remodeling|sarcoplasmic reticulum|protein binding|neuron projection morphogenesis|extracellular matrix organization|collagen binding|positive regulation of peptidyl-tyrosine phosphorylation|extracellular region|proteinaceous extracellular matrix|basement membrane|extracellular space|extracellular matrix|protein homooligomerization|neuromuscular junction|endoplasmic reticulum|myoblast migration|regulation of tissue remodeling|response to unfolded protein|positive regulation of cell division|response to endoplasmic reticulum stress|cell adhesion|positive regulation of endothelial cell proliferation|endothelial cell-cell adhesion|laminin-1 binding|nervous system development|fibronectin binding|positive regulation of neutrophil chemotaxis|growth factor activity|integrin binding,136
Q9Z1T2,Thbs4,thrombospondin 4,2399,Thrombospondin-4,behavioral response to pain|heparin binding|calcium ion binding|tissue remodeling|sarcoplasmic reticulum|protein binding|neuron projection morphogenesis|extracellular matrix organization|collagen binding|positive regulation of peptidyl-tyrosine phosphorylation|extracellular region|proteinaceous extracellular matrix|basement membrane|extracellular space|extracellular matrix|protein homooligomerization|neuromuscular junction|endoplasmic reticulum|myoblast migration|regulation of tissue remodeling|response to unfolded protein|positive regulation of cell division|response to endoplasmic reticulum stress|cell adhesion|positive regulation of endothelial cell proliferation|endothelial cell-cell adhesion|laminin-1 binding|nervous system development|fibronectin binding|positive regulation of neutrophil chemotaxis|growth factor activity|integrin binding,136
Q80WE4,Kif20b,kinesin family member 20B,4227,Kinesin-like protein KIF20B (Kinesin family member 20B) (Kinesin-related motor interacting with PIN1) (M-phase phosphoprotein 1) (MPP1),"nucleolus|cytoplasm|centrosome|cytoskeleton|kinesin complex|microtubule|positive regulation of cytokinesis|microtubule-based movement|protein localization to microtubule|cell cycle|protein homodimerization activity|regulation of mitotic nuclear division|cell projection|perinuclear region of cytoplasm|neuron projection morphogenesis|WW domain binding|spindle midzone|cell division|regulation of establishment of protein localization|nucleotide binding|neural tube closure|microtubule motor activity|protein binding|ATP binding|nucleus|nucleoplasm|microtubule binding|positive regulation of cell proliferation|ATP-dependent microtubule motor activity, plus-end-directed|microtubule cytoskeleton|ATPase activity|contractile ring|positive regulation of intracellular protein transport|midbody|mitotic spindle pole|positive regulation of mitotic cytokinetic process|mitotic spindle midzone|regulation of establishment of cell polarity|regulation of neuron migration|positive regulation of neuron migration",150
O88908,Soat2,sterol O-acyltransferase 2,4602,Sterol O-acyltransferase 2 (EC 2.3.1.26) (Acyl-coenzyme A:cholesterol acyltransferase 2) (ACAT-2) (Cholesterol acyltransferase 2),"integral component of membrane|endoplasmic reticulum|transferase activity|endoplasmic reticulum membrane|transferase activity, transferring acyl groups|brush border|lipid metabolic process|steroid metabolic process|cholesterol metabolic process|cholesterol efflux|very-low-density lipoprotein particle assembly|cholesterol esterification|O-acyltransferase activity|cholesterol O-acyltransferase activity|fatty-acyl-CoA binding|cholesterol binding|sterol O-acyltransferase activity|cholesterol homeostasis|membrane",153
Q9QZ47,Tnnt3,"troponin T3, skeletal, fast",1726,"Troponin T, fast skeletal muscle (TnTf) (Fast skeletal muscle troponin T) (fTnT)",calcium-dependent ATPase activity|calcium ion binding|troponin I binding|protein binding|tropomyosin binding|troponin complex|regulation of ATPase activity|muscle contraction|sarcomere organization|regulation of muscle contraction|calcium-dependent protein binding|regulation of striated muscle contraction|cardiac muscle contraction|troponin C binding|skeletal muscle contraction|actin binding,156
Q9QZ47,Tnnt3,"troponin T3, skeletal, fast",2031,"Troponin T, fast skeletal muscle (TnTf) (Fast skeletal muscle troponin T) (fTnT)",calcium-dependent ATPase activity|calcium ion binding|troponin I binding|protein binding|tropomyosin binding|troponin complex|regulation of ATPase activity|muscle contraction|sarcomere organization|regulation of muscle contraction|calcium-dependent protein binding|regulation of striated muscle contraction|cardiac muscle contraction|troponin C binding|skeletal muscle contraction|actin binding,156
Q9QZ47,Tnnt3,"troponin T3, skeletal, fast",4724,"Troponin T, fast skeletal muscle (TnTf) (Fast skeletal muscle troponin T) (fTnT)",calcium-dependent ATPase activity|calcium ion binding|troponin I binding|protein binding|tropomyosin binding|troponin complex|regulation of ATPase activity|muscle contraction|sarcomere organization|regulation of muscle contraction|calcium-dependent protein binding|regulation of striated muscle contraction|cardiac muscle contraction|troponin C binding|skeletal muscle contraction|actin binding,156
Q9QZ47,Tnnt3,"troponin T3, skeletal, fast",6382,"Troponin T, fast skeletal muscle (TnTf) (Fast skeletal muscle troponin T) (fTnT)",calcium-dependent ATPase activity|calcium ion binding|troponin I binding|protein binding|tropomyosin binding|troponin complex|regulation of ATPase activity|muscle contraction|sarcomere organization|regulation of muscle contraction|calcium-dependent protein binding|regulation of striated muscle contraction|cardiac muscle contraction|troponin C binding|skeletal muscle contraction|actin binding,156
G3UW82,Myh2,"myosin, heavy polypeptide 2, skeletal muscle, adult",4568,"Myosin, heavy polypeptide 2, skeletal muscle, adult",muscle myosin complex|cell-cell junction|muscle contraction|response to activity|myofibril|A band|protein-containing complex|actin-mediated cell contraction|plasma membrane repair|Golgi apparatus|actomyosin contractile ring,157
Q3UHZ5,Lmod2,leiomodin 2 (cardiac),626,Leiomodin-2 (Cardiac leiomodin) (C-LMOD) (Leiomodin),positive regulation of actin filament polymerization|tropomyosin binding|M band|cytoplasm|actin nucleation|cytoskeleton|striated muscle thin filament|actin filament|muscle contraction|sarcomere organization|actin filament organization|myofibril|pointed-end actin filament capping|cardiac myofibril|sarcomere|actin binding|actin filament polymerization|actin monomer binding|myofibril assembly,175
Q3UHZ5,Lmod2,leiomodin 2 (cardiac),1619,Leiomodin-2 (Cardiac leiomodin) (C-LMOD) (Leiomodin),positive regulation of actin filament polymerization|tropomyosin binding|M band|cytoplasm|actin nucleation|cytoskeleton|striated muscle thin filament|actin filament|muscle contraction|sarcomere organization|actin filament organization|myofibril|pointed-end actin filament capping|cardiac myofibril|sarcomere|actin binding|actin filament polymerization|actin monomer binding|myofibril assembly,175
Q3UHZ5,Lmod2,leiomodin 2 (cardiac),6374,Leiomodin-2 (Cardiac leiomodin) (C-LMOD) (Leiomodin),positive regulation of actin filament polymerization|tropomyosin binding|M band|cytoplasm|actin nucleation|cytoskeleton|striated muscle thin filament|actin filament|muscle contraction|sarcomere organization|actin filament organization|myofibril|pointed-end actin filament capping|cardiac myofibril|sarcomere|actin binding|actin filament polymerization|actin monomer binding|myofibril assembly,175
Q9Z1N2,Orc1,"origin recognition complex, subunit 1",7360,Origin recognition complex subunit 1,"DNA binding|chromatin binding|ATP binding|nucleus|nuclear origin of replication recognition complex|nucleolus|cytosol|plasma membrane|DNA replication|positive regulation of smooth muscle cell proliferation|nucleotide binding|positive regulation of G0 to G1 transition|nuclear chromosome, telomeric region|origin recognition complex",189
Q61835,Fxyd3,FXYD domain-containing ion transport regulator 3,3474,FXYD domain-containing ion transport regulator 3 (Chloride conductance inducer protein Mat-8) (Mammary tumor 8 kDa protein) (Phospholemman-like) (Sodium/potassium-transporting ATPase subunit FXYD3),plasma membrane|integral component of plasma membrane|ion transport|potassium ion transport|sodium ion transport|membrane|integral component of membrane|sodium channel regulator activity|regulation of catalytic activity|ATPase binding|regulation of sodium ion transmembrane transporter activity|ion channel activity|protein binding|endoplasmic reticulum membrane,193
Q9JLR5,Tcf23,transcription factor 23,2844,"Transcription factor 23 (TCF-23) (Basic helix-loop-helix transcription factor OUT) (Ovary, uterus and testis protein)",positive regulation of gene expression|cell differentiation|decidualization|protein dimerization activity|nucleus|multicellular organism development|muscle organ development,199
Q80Z71,Tnn,tenascin N,1169,Tenascin-N (TN-N) (Tenascin-W) (TN-W),hippocampal mossy fiber expansion|extracellular region|neuron projection extension|proteinaceous extracellular matrix|negative regulation of neuron migration|cell-matrix adhesion|axonogenesis|cell surface|negative regulation of osteoblast proliferation|identical protein binding|neuron projection|neuronal cell body|negative regulation of osteoblast differentiation|dendrite self-avoidance|neuron migration|CA3 pyramidal cell dendrite|osteoblast development|negative regulation of canonical Wnt signaling pathway involved in osteoblast differentiation|integrin binding,209
Q80Z71,Tnn,tenascin N,5433,Tenascin-N (TN-N) (Tenascin-W) (TN-W),hippocampal mossy fiber expansion|extracellular region|neuron projection extension|proteinaceous extracellular matrix|negative regulation of neuron migration|cell-matrix adhesion|axonogenesis|cell surface|negative regulation of osteoblast proliferation|identical protein binding|neuron projection|neuronal cell body|negative regulation of osteoblast differentiation|dendrite self-avoidance|neuron migration|CA3 pyramidal cell dendrite|osteoblast development|negative regulation of canonical Wnt signaling pathway involved in osteoblast differentiation|integrin binding,209
O09165,Casq1,calsequestrin 1,4263,"Calsequestrin-1 (Calmitine) (Calsequestrin, skeletal muscle isoform)",positive regulation of release of sequestered calcium ion into cytosol|sarcoplasmic reticulum lumen|regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion|cytoplasm|regulation of sequestering of calcium ion|membrane|mitochondrion|positive regulation of store-operated calcium channel activity|sarcolemma|sarcoplasmic reticulum|mitochondrial matrix|regulation of store-operated calcium entry|identical protein binding|endoplasmic reticulum|Golgi apparatus|regulation of muscle contraction|endoplasmic reticulum organization|response to heat|intracellular membrane-bounded organelle|regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum|sarcomere organization|myofibril|metal ion binding|Z disc|terminal cisterna|calcium ion binding|protein polymerization|T-tubule|terminal cisterna lumen|regulation of release of sequestered calcium ion into cytosol|I band,219
Q9JM90,Stap1,signal transducing adaptor family member 1,2660,Signal-transducing adaptor protein 1 (STAP-1) (Stem cell adaptor protein 1),"positive regulation of non-membrane spanning protein tyrosine kinase activity|protein-containing complex|SH3/SH2 adaptor activity|negative regulation of microglial cell migration|negative regulation of phosphorylation|macrophage colony-stimulating factor receptor binding|positive regulation of microglial cell mediated cytotoxicity|intracellular membrane-bounded organelle|protein binding|positive regulation of actin cytoskeleton reorganization|nucleus|nucleoplasm|cytoplasm|mitochondrion|positive regulation of B cell receptor signaling pathway|transmembrane receptor protein tyrosine kinase signaling pathway|positive regulation of phagocytosis, engulfment|positive regulation of gene expression|cellular response to lipopolysaccharide|negative regulation of macrophage chemotaxis|negative regulation of ruffle assembly|protein kinase binding|phosphotyrosine residue binding|negative regulation of macrophage colony-stimulating factor signaling pathway|myeloid cell differentiation|transmembrane receptor protein tyrosine kinase adaptor activity|positive regulation of microglial cell activation|receptor tyrosine kinase binding",221
P05977,Myl1,"myosin, light polypeptide 1",4370,"Myosin light chain 1/3, skeletal muscle isoform (MLC1/MLC3) (MLC1F/MLC3F) (Myosin light chain alkali 1/2) (Myosin light chain A1/A2)",myofibril|contractile fiber|cardiac muscle contraction|calcium ion binding|muscle contraction|myosin complex,228
