UNIPROT ID,GENE,From Docking List,Docking Rank,From Raw Data,GO ID,P-Value Significance,Fold Change
Q9QY30,Abcb11,,4065,Bile salt export pump (EC 7.6.2.-) (ATP-binding cassette sub-family B member 11) (Sister of P-glycoprotein),"mmu02010,mmu04976,mmu04979,mmu01522",0.301201686,0.483144691
P21447,Abcb1a,,270,ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1A) (MDR1A) (Multidrug resistance protein 1A) (EC 7.6.2.2) (Multidrug resistance protein 3) (P-glycoprotein 3) (Phospholipid transporter ABCB1) (EC 7.6.2.1),"mmu02010,mmu04976,mmu05206,mmu05226",0.978284605,0.988660697
P21447,Abcb1a,,2141,ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1A) (MDR1A) (Multidrug resistance protein 1A) (EC 7.6.2.2) (Multidrug resistance protein 3) (P-glycoprotein 3) (Phospholipid transporter ABCB1) (EC 7.6.2.1),"mmu02010,mmu04976,mmu05206,mmu05226",0.978284605,0.988660697
P21447,Abcb1a,,3458,ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1A) (MDR1A) (Multidrug resistance protein 1A) (EC 7.6.2.2) (Multidrug resistance protein 3) (P-glycoprotein 3) (Phospholipid transporter ABCB1) (EC 7.6.2.1),"mmu02010,mmu04976,mmu05206,mmu05226",0.978284605,0.988660697
P21447,Abcb4,,270,ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1A) (MDR1A) (Multidrug resistance protein 1A) (EC 7.6.2.2) (Multidrug resistance protein 3) (P-glycoprotein 3) (Phospholipid transporter ABCB1) (EC 7.6.2.1),"mmu02010,mmu04976",0.593981702,1.06714652
P21447,Abcb4,,2141,ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1A) (MDR1A) (Multidrug resistance protein 1A) (EC 7.6.2.2) (Multidrug resistance protein 3) (P-glycoprotein 3) (Phospholipid transporter ABCB1) (EC 7.6.2.1),"mmu02010,mmu04976",0.593981702,1.06714652
P21447,Abcb4,,3458,ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1A) (MDR1A) (Multidrug resistance protein 1A) (EC 7.6.2.2) (Multidrug resistance protein 3) (P-glycoprotein 3) (Phospholipid transporter ABCB1) (EC 7.6.2.1),"mmu02010,mmu04976",0.593981702,1.06714652
Q61102,Abcb7,,5436,"Iron-sulfur clusters transporter ABCB7, mitochondrial (ATP-binding cassette sub-family B member 7, mitochondrial) (ATP-binding cassette transporter 7) (ABC transporter 7 protein)",mmu02010,0.936068753,1.005940908
Q9CXJ4,Abcb8,,6619,"Mitochondrial potassium channel ATP-binding subunit (ATP-binding cassette sub-family B member 8, mitochondrial) (ABCB8) (Mitochondrial sulfonylurea-receptor) (MITOSUR)",mmu02010,0.876205715,1.009757234
O35379,Abcc1,,2081,Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter),"mmu02010,mmu04071,mmu04977,mmu05206,mmu01523",0.208345292,0.901493159
O35379,Abcc1,,2600,Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter),"mmu02010,mmu04071,mmu04977,mmu05206,mmu01523",0.208345292,0.901493159
Q80WJ6,Abcc12,,360,ATP-binding cassette sub-family C member 12 (Multidrug resistance-associated protein 9),mmu02010,0.965679576,1.036861865
Q80WJ6,Abcc12,,2108,ATP-binding cassette sub-family C member 12 (Multidrug resistance-associated protein 9),mmu02010,0.965679576,1.036861865
Q8VI47,Abcc2,,1755,ATP-binding cassette sub-family C member 2 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (Canalicular multispecific organic anion transporter 1) (Multidrug resistance-associated protein 2),"mmu02010,mmu04976,mmu01524,mmu01523",0.479704593,0.726928256
Q8VI47,Abcc2,,2457,ATP-binding cassette sub-family C member 2 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (Canalicular multispecific organic anion transporter 1) (Multidrug resistance-associated protein 2),"mmu02010,mmu04976,mmu01524,mmu01523",0.479704593,0.726928256
B2RX12,Abcc3,,5200,ATP-binding cassette sub-family C member 3 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (Canalicular multispecific organic anion transporter 2) (Multidrug resistance-associated protein 3),"mmu02010,mmu04976,mmu01523",0.012149353,0.722792505
E9Q236,Abcc4,,4718,ATP-binding cassette sub-family C member 4 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (Multidrug resistance-associated protein 4),"mmu02010,mmu04024,mmu04976,mmu01523",0.655337895,0.959629191
Q9R1X5,Abcc5,,2378,Multidrug resistance-associated protein 5 (ATP-binding cassette sub-family C member 5) (Multi-specific organic anion transporter C) (MOAT-C) (SMRP),"mmu02010,mmu01523",0.868901858,0.987075273
Q9R1X5,Abcc5,,3133,Multidrug resistance-associated protein 5 (ATP-binding cassette sub-family C member 5) (Multi-specific organic anion transporter C) (MOAT-C) (SMRP),"mmu02010,mmu01523",0.868901858,0.987075273
Q9R1X5,Abcc5,,4926,Multidrug resistance-associated protein 5 (ATP-binding cassette sub-family C member 5) (Multi-specific organic anion transporter C) (MOAT-C) (SMRP),"mmu02010,mmu01523",0.868901858,0.987075273
Q9R1S7,Abcc6,,2454,ATP-binding cassette sub-family C member 6 (EC 7.6.2.-) (EC 7.6.2.3) (Multidrug resistance-associated protein 6),mmu02010,0.756308327,1.07616917
Q9R1S7,Abcc6,,5892,ATP-binding cassette sub-family C member 6 (EC 7.6.2.-) (EC 7.6.2.3) (Multidrug resistance-associated protein 6),mmu02010,0.756308327,1.07616917
P70170,Abcc9,,4418,ATP-binding cassette sub-family C member 9 (Sulfonylurea receptor 2),mmu02010,0.715946535,1.041055699
Q6P542,Abcf1,,685,ATP-binding cassette sub-family F member 1,,0.947860666,0.997347151
Q6P542,Abcf1,,2451,ATP-binding cassette sub-family F member 1,,0.947860666,0.997347151
Q8K268,Abcf3,,2573,ATP-binding cassette sub-family F member 3,,0.780835812,1.021966062
Q99PE8,Abcg5,,5096,ATP-binding cassette sub-family G member 5 (EC 7.6.2.-) (Sterolin-1),"mmu02010,mmu04976,mmu04975,mmu04979",1,0.96516966
Q99LR1,Abhd12,,3797,Lysophosphatidylserine lipase ABHD12 (EC 3.1.1.-) (2-arachidonoylglycerol hydrolase ABHD12) (Abhydrolase domain-containing protein 12) (Monoacylglycerol lipase ABHD12) (EC 3.1.1.23) (Oxidized phosphatidylserine lipase ABHD12) (EC 3.1.-.-),,0.582343747,1.038341238
Q8R0P8,Abhd8,,826,Protein ABHD8 (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 8) (Abhydrolase domain-containing protein 8),,0.906326201,0.987650109
Q8R0P8,Abhd8,,5914,Protein ABHD8 (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 8) (Abhydrolase domain-containing protein 8),,0.906326201,0.987650109
Q8CBW3,Abi1,,979,Abl interactor 1 (Abelson interactor 1) (Abi-1) (Ablphilin-1) (Eps8 SH3 domain-binding protein) (Eps8-binding protein) (Spectrin SH3 domain-binding protein 1) (e3B1),,0.214534668,1.097928534
Q8CBW3,Abi1,,1349,Abl interactor 1 (Abelson interactor 1) (Abi-1) (Ablphilin-1) (Eps8 SH3 domain-binding protein) (Eps8-binding protein) (Spectrin SH3 domain-binding protein 1) (e3B1),,0.214534668,1.097928534
Q8CBW3,Abi1,,6009,Abl interactor 1 (Abelson interactor 1) (Abi-1) (Ablphilin-1) (Eps8 SH3 domain-binding protein) (Eps8-binding protein) (Spectrin SH3 domain-binding protein 1) (e3B1),,0.214534668,1.097928534
P62484,Abi2,,6565,Abl interactor 2 (Abelson interactor 2) (Abi-2) (Abl-binding protein 3) (AblBP3) (Arg-binding protein 1) (ArgBP1),mmu04810,0.268694895,1.084674532
Q8BYZ1,Abi3,,741,ABI gene family member 3 (New molecule including SH3) (Nesh),,0.330452396,0.858450001
Q8BYZ1,Abi3,,6835,ABI gene family member 3 (New molecule including SH3) (Nesh),,0.330452396,0.858450001
P00520,Abl1,,3843,Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150),"mmu04014,mmu04012,mmu04110,mmu04722,mmu04360,mmu05200,mmu05206,mmu05220,mmu05416",0.831624606,0.980304807
Q4JIM5,Abl2,,3684,Tyrosine-protein kinase ABL2 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 2) (Abelson tyrosine-protein kinase 2) (Abelson-related gene protein) (Tyrosine-protein kinase ARG),"mmu04014,mmu04012,mmu05416",0.206073427,1.103250902
Q8K4G5,Ablim1,,2136,Actin-binding LIM protein 1 (abLIM-1) (Actin-binding LIM protein family member 1),mmu04360,0.555029683,1.044358321
Q8BL65,Ablim2,,7042,Actin-binding LIM protein 2 (abLIM-2) (Actin-binding LIM protein family member 2),mmu04360,0.950569915,0.993997088
Q5SSL4,Abr,,3842,Active breakpoint cluster region-related protein,,0.293022021,1.083134917
Q5SSL4,Abr,,5259,Active breakpoint cluster region-related protein,,0.293022021,1.083134917
Q9QYL7,Abt1,,7056,Activator of basal transcription 1,,0.602107561,1.05633052
Q61282,Acan,,2092,Aggrecan core protein (Cartilage-specific proteoglycan core protein) (CSPCP),,0.550200428,1.340859378
Q8K2H4,Acap1,,187,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1 (Centaurin-beta-1) (Cnt-b1)",mmu04144,0.750402377,1.401843367
Q8K2H4,Acap1,,1310,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1 (Centaurin-beta-1) (Cnt-b1)",mmu04144,0.750402377,1.401843367
Q6ZQK5,Acap2,,180,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 (Centaurin-beta-2) (Cnt-b2)",mmu04144,0.676375001,1.034246887
Q6ZQK5,Acap2,,6369,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 (Centaurin-beta-2) (Cnt-b2)",mmu04144,0.676375001,1.034246887
O88908,Acat2,,4602,Sterol O-acyltransferase 2 (EC 2.3.1.26) (Acyl-coenzyme A:cholesterol acyltransferase 2) (ACAT-2) (Cholesterol acyltransferase 2),"mmu00620,mmu00630,mmu00640,mmu00650,mmu00071,mmu00072,mmu00280,mmu00310,mmu00380,mmu00900,mmu04975",0.543981189,0.951411801
Q8BMP6,Acbd3,,4966,Golgi resident protein GCP60 (Acyl-CoA-binding domain-containing protein 3) (Golgi complex-associated protein 1) (GOCAP1) (Golgi phosphoprotein 1) (GOLPH1) (PBR- and PKA-associated protein 7) (Peripheral benzodiazepine receptor-associated protein PAP7),,0.832514204,1.020262456
Q8BMP6,Acbd3,,6944,Golgi resident protein GCP60 (Acyl-CoA-binding domain-containing protein 3) (Golgi complex-associated protein 1) (GOCAP1) (Golgi phosphoprotein 1) (GOLPH1) (PBR- and PKA-associated protein 7) (Peripheral benzodiazepine receptor-associated protein PAP7),,0.832514204,1.020262456
Q9D061,Acbd6,,6200,Acyl-CoA-binding domain-containing protein 6,,0.990104821,1.002604439
Q5EE38,Acd,,422,Adrenocortical dysplasia protein,,0.419925295,0.931900499
Q5EE38,Acd,,7193,Adrenocortical dysplasia protein,,0.419925295,0.931900499
Q8R0I0,Ace,,4159,Angiotensin-converting enzyme 2 (EC 3.4.17.23) (ACE-related carboxypeptidase) (EC 3.4.17.-) [Cleaved into: Processed angiotensin-converting enzyme 2],"mmu04924,mmu04614,mmu05410,mmu05142",0.590394303,1.076975048
Q8R0I0,Ace2,,4159,Angiotensin-converting enzyme 2 (EC 3.4.17.23) (ACE-related carboxypeptidase) (EC 3.4.17.-) [Cleaved into: Processed angiotensin-converting enzyme 2],"mmu04614,mmu04974",0.913457466,0.949216265
Q9JIX8,Acin1,,2464,Apoptotic chromatin condensation inducer in the nucleus (Acinus),"mmu03040,mmu03013,mmu03015",0.755906323,0.977366172
Q99KI0,Aco2,,669,"Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)","mmu00020,mmu00630",0.671017498,1.026797992
Q99KI0,Aco2,,672,"Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)","mmu00020,mmu00630",0.671017498,1.026797992
Q8VHQ9,Acot11,,5638,Acyl-coenzyme A thioesterase 11 (Acyl-CoA thioesterase 11) (EC 3.1.2.-) (Acyl-CoA thioester hydrolase 11) (Adipose-associated thioesterase) (Brown fat-inducible thioesterase) (BFIT) (Palmitoyl-coenzyme A thioesterase) (EC 3.1.2.2),,0.510357157,1.080763459
Q91V12,Acot7,,2225,Cytosolic acyl coenzyme A thioester hydrolase (EC 3.1.2.2) (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase) (BACH) (CTE-IIa) (CTE-II) (Long chain acyl-CoA thioester hydrolase),"mmu00062,mmu01040",0.800138283,1.016727231
Q91V12,Acot7,,4658,Cytosolic acyl coenzyme A thioester hydrolase (EC 3.1.2.2) (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase) (BACH) (CTE-IIa) (CTE-II) (Long chain acyl-CoA thioester hydrolase),"mmu00062,mmu01040",0.800138283,1.016727231
Q9QXG4,Acss2,,494,"Acetyl-coenzyme A synthetase, cytoplasmic (EC 6.2.1.1) (Acetate--CoA ligase) (Acetyl-CoA synthetase) (ACS) (AceCS) (Acetyl-CoA synthetase 1) (AceCS1) (Acyl-CoA synthetase short-chain family member 2) (Acyl-activating enzyme) (Propionate--CoA ligase) (EC 6.2.1.17)","mmu00010,mmu00620,mmu00640",0.53808681,1.044733737
Q9QY83,Actl7b,,7160,Actin-like protein 7B (Actin-like-7-beta) (Testis-specific actin-1) (T-actin-1),,1,0.971099534
Q8R2S9,Actr8,,2241,Actin-related protein 8,,0.751213253,1.026019597
Q8R2S9,Actr8,,6561,Actin-related protein 8,,0.751213253,1.026019597
Q8R0L9,Ada,,5418,Transcriptional adapter 3 (ADA3 homolog) (mADA3) (Transcriptional adapter 3-like) (ADA3-like protein),"mmu00230,mmu05340",0.660814851,0.907448167
Q8R534,Adam1b,,4733,Disintegrin and metalloproteinase domain-containing protein 1b (ADAM 1b) (EC 3.4.24.-) (Fertilin subunit alpha-b),,0.581645555,Inf
P97857,Adamts1,,7039,A disintegrin and metalloproteinase with thrombospondin motifs 1 (ADAM-TS 1) (ADAM-TS1) (ADAMTS-1) (EC 3.4.24.-),,0.917344664,1.034979307
P59384,Adamts15,,2646,A disintegrin and metalloproteinase with thrombospondin motifs 15 (ADAM-TS 15) (ADAM-TS15) (ADAMTS-15) (EC 3.4.24.-),,0.518738155,1.084953276
Q8BNJ2,Adamts4,,7348,A disintegrin and metalloproteinase with thrombospondin motifs 4 (ADAM-TS 4) (ADAM-TS4) (ADAMTS-4) (EC 3.4.24.82) (Aggrecanase-1),,0.46527214,0.906148737
Q68SA9,Adamts7,,7445,A disintegrin and metalloproteinase with thrombospondin motifs 7 (ADAM-TS 7) (ADAM-TS7) (ADAMTS-7) (EC 3.4.24.-) (COMPase),,0.633510499,0.838953648
P57110,Adamts8,,7144,A disintegrin and metalloproteinase with thrombospondin motifs 8 (ADAM-TS 8) (ADAM-TS8) (ADAMTS-8) (EC 3.4.24.-) (METH-2),,0.444625529,1.126329677
Q80T21,Adamtsl4,,3337,ADAMTS-like protein 4 (ADAMTSL-4) (Thrombospondin repeat-containing protein 1),,0.357010296,0.866022825
Q91ZS8,Adar,,2360,Double-stranded RNA-specific editase 1 (EC 3.5.4.37) (RNA-editing deaminase 1) (RNA-editing enzyme 1) (dsRNA adenosine deaminase),"mmu04623,mmu05162,mmu05164",0.424671624,1.059490988
Q91ZS8,Adar,,5457,Double-stranded RNA-specific editase 1 (EC 3.5.4.37) (RNA-editing deaminase 1) (RNA-editing enzyme 1) (dsRNA adenosine deaminase),"mmu04623,mmu05162,mmu05164",0.424671624,1.059490988
Q91ZS8,Adar,,5967,Double-stranded RNA-specific editase 1 (EC 3.5.4.37) (RNA-editing deaminase 1) (RNA-editing enzyme 1) (dsRNA adenosine deaminase),"mmu04623,mmu05162,mmu05164",0.424671624,1.059490988
Q99MU3,Adar,,295,Double-stranded RNA-specific adenosine deaminase (DRADA) (EC 3.5.4.37) (RNA adenosine deaminase 1),"mmu04623,mmu05162,mmu05164",0.424671624,1.059490988
Q99MU3,Adar,,687,Double-stranded RNA-specific adenosine deaminase (DRADA) (EC 3.5.4.37) (RNA adenosine deaminase 1),"mmu04623,mmu05162,mmu05164",0.424671624,1.059490988
Q99MU3,Adar,,1828,Double-stranded RNA-specific adenosine deaminase (DRADA) (EC 3.5.4.37) (RNA adenosine deaminase 1),"mmu04623,mmu05162,mmu05164",0.424671624,1.059490988
Q99MU3,Adar,,2109,Double-stranded RNA-specific adenosine deaminase (DRADA) (EC 3.5.4.37) (RNA adenosine deaminase 1),"mmu04623,mmu05162,mmu05164",0.424671624,1.059490988
Q99MU3,Adar,,2682,Double-stranded RNA-specific adenosine deaminase (DRADA) (EC 3.5.4.37) (RNA adenosine deaminase 1),"mmu04623,mmu05162,mmu05164",0.424671624,1.059490988
Q99MU3,Adar,,3621,Double-stranded RNA-specific adenosine deaminase (DRADA) (EC 3.5.4.37) (RNA adenosine deaminase 1),"mmu04623,mmu05162,mmu05164",0.424671624,1.059490988
Q99MU3,Adar,,4707,Double-stranded RNA-specific adenosine deaminase (DRADA) (EC 3.5.4.37) (RNA adenosine deaminase 1),"mmu04623,mmu05162,mmu05164",0.424671624,1.059490988
Q91ZS8,Adarb1,,2360,Double-stranded RNA-specific editase 1 (EC 3.5.4.37) (RNA-editing deaminase 1) (RNA-editing enzyme 1) (dsRNA adenosine deaminase),,0.401912286,1.096157539
Q91ZS8,Adarb1,,5457,Double-stranded RNA-specific editase 1 (EC 3.5.4.37) (RNA-editing deaminase 1) (RNA-editing enzyme 1) (dsRNA adenosine deaminase),,0.401912286,1.096157539
Q91ZS8,Adarb1,,5967,Double-stranded RNA-specific editase 1 (EC 3.5.4.37) (RNA-editing deaminase 1) (RNA-editing enzyme 1) (dsRNA adenosine deaminase),,0.401912286,1.096157539
Q60936,Adck3,,850,"Atypical kinase COQ8A, mitochondrial (EC 2.7.-.-) (Chaperone activity of bc1 complex-like) (Chaperone-ABC1-like) (Coenzyme Q protein 8A) (aarF domain-containing protein kinase 3)",,0.913618395,1.004583938
Q60936,Adck3,,891,"Atypical kinase COQ8A, mitochondrial (EC 2.7.-.-) (Chaperone activity of bc1 complex-like) (Chaperone-ABC1-like) (Coenzyme Q protein 8A) (aarF domain-containing protein kinase 3)",,0.913618395,1.004583938
Q60936,Adck3,,892,"Atypical kinase COQ8A, mitochondrial (EC 2.7.-.-) (Chaperone activity of bc1 complex-like) (Chaperone-ABC1-like) (Coenzyme Q protein 8A) (aarF domain-containing protein kinase 3)",,0.913618395,1.004583938
Q60936,Adck3,,3673,"Atypical kinase COQ8A, mitochondrial (EC 2.7.-.-) (Chaperone activity of bc1 complex-like) (Chaperone-ABC1-like) (Coenzyme Q protein 8A) (aarF domain-containing protein kinase 3)",,0.913618395,1.004583938
P51829,Adcy7,,5267,Adenylate cyclase type 7 (EC 4.6.1.1) (ATP pyrophosphate-lyase 7) (Adenylate cyclase type VII) (Adenylyl cyclase 7),"mmu00230,mmu04015,mmu04371,mmu04020,mmu04072,mmu04024,mmu04022,mmu04114,mmu04540,mmu04611,mmu04062,mmu04911,mmu04923,mmu04912,mmu04913,mmu04915,mmu04914,mmu04921,mmu04926,mmu04918,mmu04916,mmu04925,mmu04927,mmu04261,mmu04270,mmu04970,mmu04971,mmu04972,mmu04976,mmu04724,mmu04727,mmu04725,mmu04723,mmu04750,mmu04211,mmu04213,mmu04713,mmu04714,mmu05200,mmu05032,mmu05414,mmu04934,mmu05166,mmu01522",0.699023085,0.951186754
P51830,Adcy9,,1508,Adenylate cyclase type 9 (EC 4.6.1.1) (ATP pyrophosphate-lyase 9) (Adenylate cyclase type IX) (Adenylyl cyclase 9) (AC9) (Adenylyl cyclase type 10) (ACTP10),"mmu00230,mmu04015,mmu04371,mmu04020,mmu04072,mmu04024,mmu04022,mmu04114,mmu04540,mmu04611,mmu04062,mmu04911,mmu04923,mmu04912,mmu04913,mmu04915,mmu04914,mmu04921,mmu04926,mmu04918,mmu04916,mmu04925,mmu04927,mmu04261,mmu04270,mmu04970,mmu04971,mmu04972,mmu04976,mmu04962,mmu04961,mmu04724,mmu04727,mmu04725,mmu04723,mmu04750,mmu04211,mmu04213,mmu04713,mmu04714,mmu05200,mmu05032,mmu05414,mmu04934,mmu05166,mmu01522",0.463762701,1.073557811
Q9QYB8,Add2,,4556,Beta-adducin (Add97) (Erythrocyte adducin subunit beta),,0.354887784,1.067341208
Q8CGM1,Adgrb2,,602,Adhesion G protein-coupled receptor B2 (Brain-specific angiogenesis inhibitor 2),,0.386201133,1.075702504
